RR15;DR15;LIBELLE15;16_25_H_non_dip;25_H_non_dip;16_25_F_non_dip;25_F_non_dip;16_25_H_bep;25_H_bep;16_25_F_bep;25_F_bep;16_25_H_Bac;25_H_Bac;16_25_F_Bac;25_F_Bac;16_25_H_sup;25_H_sup;16_25_F_sup;25_F_sup
82;01;Ain;5622;59866;3595;81060;6832;61204;3956;41895;4670;28401;4403;32469;2661;41801;3275;47939
22;02;Aisne;6903;70991;4352;100177;6677;55148;4486;37686;3465;22672;3579;25253;1772;24726;2816;30227
83;03;Allier;3062;43998;1929;65396;3458;40281;2016;29005;2205;16613;2190;19061;1059;18586;1552;22288
93;04;Alpes-de-Haute-Provence;1389;18310;922;24739;1786;16315;1242;12324;897;8059;972;10141;531;11295;713;13408
93;05;Hautes-Alpes;997;14530;656;18349;1274;13951;726;9528;979;7603;986;9028;450;10185;710;13685
93;06;Alpes-Maritimes;10598;122220;6588;167765;8816;83198;5479;72324;6960;58039;7335;77322;4418;94817;6541;108495
82;07;ArdŠche;2453;39806;1608;52383;3008;33007;1896;22491;1989;15027;1838;18063;1120;19345;1412;24690
21;08;Ardennes;3191;36781;2400;53829;3371;31217;2121;19756;2080;12292;1821;12949;981;13115;1443;15892
73;09;AriŠge;1371;19706;766;25247;1601;15921;935;11123;853;8382;877;9883;417;9161;667;11385
21;10;Aube;3386;37522;2297;55696;3502;33364;2170;21358;2176;12440;2247;13645;1164;15819;1676;19336
91;11;Aude;3482;44944;2405;59370;3348;33533;1967;25686;2196;20050;2355;22724;925;21303;1330;26343
73;12;Aveyron;1692;36095;1098;48092;2272;31103;1324;19296;1816;15029;1597;17646;1162;16460;1587;22084
93;13;Bouches-du-Rh“ne;19865;216702;13320;287667;17574;147712;11762;128432;13518;93419;14032;115192;9128;165016;13203;191281
25;14;Calvados;6607;75652;4295;108597;7716;66774;4976;49139;5070;28805;5405;33600;2966;44189;4389;52583
83;15;Cantal;908;22419;593;29161;1597;17259;728;10415;1093;7481;854;9383;548;7107;785;9688
54;16;Charente;3197;42262;2105;61569;3680;42456;2283;29867;2428;17278;2245;20095;1289;19543;1678;24087
54;17;Charente-Maritime;5546;73518;3559;104782;6529;67828;4064;53013;4182;30800;4123;35722;2252;36992;2616;43793
24;18;Cher;2510;37758;1739;55862;3187;37662;2076;26572;1965;14766;1927;16652;1157;17700;1571;20732
74;19;CorrŠze;1948;29005;1235;43637;2383;28694;1422;19215;1925;13615;1750;15361;984;14619;1166;17686
94;2A;Corse-du-Sud;1589;20204;1076;23200;1252;10684;873;8424;848;9559;1007;11937;346;8853;550;11302
94;2B;Haute-Corse;2254;24958;1117;27123;1517;11092;809;9159;1037;10226;1153;12242;550;10506;704;12875
26;21;C“te-d'Or;4508;52217;2999;74583;5732;52030;3341;38262;4394;25119;4605;27999;2967;39848;4491;46574
53;22;C“tes-d'Armor;4222;63697;2281;98845;5386;63537;3562;46666;3833;30882;3499;32078;2323;38428;2802;45433
74;23;Creuse;769;17553;593;24767;1131;15423;675;9977;877;6140;678;7030;325;6406;537;7905
72;24;Dordogne;3822;55657;2394;77122;4278;45537;2761;33292;2178;20483;2459;24502;870;23115;1595;28684
43;25;Doubs;5017;54073;3459;78448;5816;53708;3825;37301;4645;24087;4453;25176;3168;37369;4018;41924
82;26;Dr“me;4512;55848;3176;74037;4633;45214;3162;34288;3209;23426;3254;27827;2195;33147;2488;39424
23;27;Eure;6833;68848;4432;93692;6676;60639;4559;43304;3850;25626;4618;29036;2174;32752;3031;37314
24;28;Eure-et-Loir;4411;49854;3012;68502;5334;46129;3357;32553;2941;18847;3050;21428;1844;24973;2409;28839
53;29;FinistŠre;4982;80527;3231;130427;7872;95580;4758;69839;7306;53620;6293;53496;4252;66349;5396;78216
91;30;Gard;7128;83429;4750;110546;6494;63257;4260;48736;4414;34645;4514;41287;2814;48116;3273;58095
73;31;Haute-Garonne;9232;96948;5874;135417;9688;93046;6262;71104;10377;61395;10289;71753;10099;138697;11885;146776
73;32;Gers;1108;25654;758;32446;1497;19148;872;13437;1142;9996;918;12147;638;11891;781;14726
72;33;Gironde;12172;135228;8129;188468;13238;132777;8869;111620;10592;70932;11043;84406;7192;119573;10071;137038
91;34;H‚rault;10180;109316;6626;145556;8587;78523;6013;63552;6711;51817;7725;63511;4990;86711;6951;102556
53;35;Ille-et-Vilaine;7306;90666;4273;127889;9189;90431;5549;66724;8777;46698;8509;49872;6344;78859;8370;89499
24;36;Indre;2162;32384;1310;46615;2728;28468;1473;19244;1322;10173;1469;11770;679;10485;976;13319
24;37;Indre-et-Loire;4720;58974;2967;86967;6238;60802;3924;42438;4785;27766;5320;31503;3229;41973;4480;51114
82;38;IsŠre;11255;115455;6731;152858;11409;102874;7067;77247;10165;54594;9916;63468;7591;108176;9214;117847
43;39;Jura;2430;31251;1628;43769;2821;29231;1594;20653;1837;12147;1651;13859;1066;14818;1409;18448
72;40;Landes;2791;41426;1678;60021;3650;43526;2222;33256;2520;21027;2279;22814;1277;23860;1543;28164
24;41;Loir-et-Cher;3286;41382;2208;59101;3514;38271;2260;25975;1848;14372;2082;16454;1048;17945;1502;21468
82;42;Loire;6383;83905;4205;120439;7346;79719;4565;59554;6267;33840;5859;38482;3900;44311;5312;55226
83;43;Haute-Loire;1554;27697;904;37473;2242;25683;1096;16082;1580;11440;1291;13036;807;12219;1164;16077
52;44;Loire-Atlantique;9809;98856;5577;158666;12630;133721;7927;103099;10841;63652;10803;70361;7637;103024;10142;112329
24;45;Loiret;7242;70216;4779;98505;6647;66624;4169;48163;4939;29348;5523;33725;3317;46370;4499;51821
73;46;Lot;1292;22765;850;29769;1391;18075;834;12549;1011;9560;956;11954;567;11716;650;14330
72;47;Lot-et-Garonne;3162;44170;2202;59266;3360;34044;2215;26132;2043;15825;2174;18507;1025;18284;1489;22458
91;48;LozŠre;531;10497;323;12374;574;8052;329;5157;612;4350;371;4706;302;4959;424;6629
52;49;Maine-et-Loire;7182;83775;4504;120067;8683;76357;5243;55049;7063;36094;6404;36983;4401;49641;5649;58677
25;50;Manche;4267;65186;2636;91268;6382;56815;3830;38503;3422;21818;3393;24487;1865;24670;2747;30203
21;51;Marne;6262;63949;3938;91288;6542;54687;3972;39003;4889;25577;4991;28101;3083;35748;4491;43219
21;52;Haute-Marne;1892;24407;1213;36217;2326;22979;1511;14317;1470;8310;1336;8429;671;8184;968;10223
52;53;Mayenne;2654;38932;1561;52135;3317;32741;2317;22141;2418;13319;2217;14055;1374;15517;1731;19664
41;54;Meurthe-et-Moselle;6431;70841;4266;106363;7704;75260;4954;57340;6671;31863;6670;36095;4665;53495;6212;59525
41;55;Meuse;2204;23892;1160;33822;2726;23381;1368;15725;1634;8951;1448;9599;662;8984;1099;11015
53;56;Morbihan;4918;73980;2875;112414;7397;78328;4270;56832;5572;39531;4894;41676;2786;46427;3925;55289
41;57;Moselle;10507;107782;6985;166257;11907;123051;8110;91120;9183;49071;8550;49767;5481;68513;7140;70829
26;58;NiŠvre;1916;28722;1387;43549;2347;27745;1377;19439;1396;10165;1288;11690;691;10471;887;13363
31;59;Nord;28932;266067;20728;411154;24961;223883;17501;165455;20921;110753;21746;120943;15230;177174;20969;189115
22;60;Oise;10479;93516;6526;122150;9656;76925;5935;55063;6215;35711;6407;40142;3661;50817;5009;57416
25;61;Orne;2941;40683;1985;56583;3153;32617;2181;21935;1920;12009;1769;13611;952;13708;1423;17275
31;62;Pas-de-Calais;15325;167287;11217;262880;17662;149475;11753;102678;12037;65953;12355;69564;6267;73038;9118;82560
83;63;Puy-de-D“me;4951;65428;3254;96099;5811;67730;3330;45919;4693;30499;4618;36356;3410;46544;4417;55257
72;64;Pyr‚n‚es-Atlantiques;4280;60977;2554;90484;5786;71081;3710;54862;4697;34875;4277;41503;3129;51764;3837;61918
73;65;Hautes-Pyr‚n‚es;1533;25013;1059;36616;2192;27673;1348;20061;1468;11692;1506;14595;793;15044;1014;19226
91;66;Pyr‚n‚es-Orientales;4999;54363;3586;75564;3709;40748;2588;31977;2707;23203;2915;28869;1315;28529;1892;35231
42;67;Bas-Rhin;10516;93203;6877;145251;11611;125958;7863;94131;8662;49771;9435;53977;6520;87854;9379;94325
42;68;Haut-Rhin;7697;71359;5484;108176;9102;90598;6232;69081;5409;34938;5708;36360;3508;51728;5007;55248
82;69;Rh“ne;14695;155078;10303;214044;14448;122633;9332;99226;14549;77612;16186;90687;12902;168589;17663;186368
43;70;Haute-Sa“ne;2492;31321;1501;43184;2765;26509;1738;17393;1802;10564;1406;11247;919;12828;1147;15127
26;71;Sa“ne-et-Loire;5367;67138;3333;102185;6285;69196;3578;45312;3707;24748;3537;28702;1879;29721;2835;35597
52;72;Sarthe;5420;65156;3391;94944;6311;64294;4329;44737;4339;23665;4228;26113;2424;31366;3126;36787
82;73;Savoie;3525;38935;2229;54178;4388;45248;2577;31284;3898;21789;2821;24073;2084;30567;2843;38115
82;74;Haute-Savoie;6276;64887;4245;89298;7840;74355;4383;53179;5769;36038;5283;42785;3863;61503;5128;70456
11;75;Paris;11360;155149;8198;210152;7467;66073;5227;60698;13784;99247;15596;128908;22840;412707;32487;442693
23;76;Seine-Maritime;13691;137086;9100;207282;14248;129703;9827;94847;10473;51577;11035;59131;6626;74157;9342;87217
11;77;Seine-et-Marne;14627;127752;9601;164087;13897;114273;8440;88500;11450;66188;13369;77547;7208;96012;10381;109097
11;78;Yvelines;11284;108322;7206;148876;10874;91839;7174;78407;10116;64682;11225;82426;8691;179089;11809;176916
54;79;Deux-SŠvres;3196;47359;1984;63472;4260;40565;2644;28581;3155;16827;2574;18612;1512;19985;2189;25188
22;80;Somme;6695;72764;4524;103302;6411;54745;3995;35165;4008;23576;4492;25817;2667;31861;3898;37207
73;81;Tarn;3128;45747;1888;62588;3572;38360;1905;27201;2388;18424;2382;23197;1414;24215;1788;30434
73;82;Tarn-et-Garonne;2389;31017;1706;39591;2436;23614;1488;17148;1505;11956;1496;13591;669;13868;968;17675
93;83;Var;10350;113670;6791;158018;9887;91859;6201;74531;7141;58719;6642;69683;3379;74588;4604;84464
93;84;Vaucluse;6526;65729;4284;87641;5791;48728;3819;37011;3462;25104;3683;30716;1948;36088;2703;44182
52;85;Vend‚e;5039;72360;2764;105604;7929;75991;4364;51651;4962;30593;4792;32572;2837;32198;3588;38430
54;86;Vienne;3471;47327;2363;65959;4168;42204;2609;29838;3640;19220;3715;22280;2577;29579;3327;34749
74;87;Haute-Vienne;2773;42671;2104;63538;3180;39363;1998;27631;2626;18748;2734;20805;1859;25921;2647;31596
41;88;Vosges;3600;48875;2304;70648;4315;42191;2927;29834;2980;15952;2928;18036;1647;19807;2032;23003
26;89;Yonne;4128;44884;2675;60531;3967;38968;2643;27119;1996;15471;2301;18125;1173;17442;1605;21962
43;90;TerritoiredeBelfort;1664;14201;1147;21039;1633;14424;1028;11284;1261;6523;964;6722;850;11526;975;10876
11;91;Essonne;12308;110171;7483;142569;10201;91329;6635;74340;9089;60806;10368;71782;7476;117625;9753;122564
