RR15;DR15;LIBELLE15;16_25_H_non_dip;25_H_non_dip;16_25_F_non_dip;25_F_non_dip;16_25_H_bep;25_H_bep;16_25_F_bep;25_F_bep;16_25_H_Bac;25_H_Bac;16_25_F_Bac;25_F_Bac;16_25_H_sup;25_H_sup;16_25_F_sup;25_F_sup
82;74;Haute-Savoie;5931;61353;3668;83342;6562;77785;4152;56897;6983;42757;6448;47730;4532;75007;5805;90200
11;75;Paris;9590;139333;6501;182281;5929;64378;4429;62177;15607;96571;16522;121773;24418;439697;36177;485062
23;76;Seine-Maritime;11598;126754;7696;188054;12036;130853;8483;99285;11552;57939;11768;65929;7040;85565;8630;103892
11;77;Seine-et-Marne;12774;123479;8196;153015;10470;116304;7563;91647;13144;74794;13667;86920;7999;114391;11131;135701
11;78;Yvelines;9286;98941;6038;133392;8503;90485;5492;77018;11776;67799;11836;83721;9616;195056;11883;202383
54;79;Deux-SŠvres;2627;42821;1708;56095;3215;42962;2447;31189;2937;18602;2441;20582;1734;24779;1984;31140
22;80;Somme;6068;65628;4369;93275;5403;56478;3868;39010;5074;26064;4582;28143;3002;36878;3639;44960
73;81;Tarn;2739;41345;1793;56423;3072;40421;1923;29228;2845;20384;2688;25904;1573;28272;1730;35798
73;82;Tarn-et-Garonne;2134;29146;1389;37677;2043;25642;1392;18482;1854;13350;1646;15817;762;17073;1027;21348
93;83;Var;9069;105597;5958;143308;8652;95700;5878;79555;8309;64673;7314;77015;3563;87192;4586;101660
93;84;Vaucluse;5521;59406;3769;79106;5269;51189;3719;40194;4198;27858;4486;34765;2135;42278;2931;52011
52;85;Vend‚e;4534;66134;2424;96241;6471;82846;3783;58718;5643;35991;4914;39415;2754;40969;3433;49569
54;86;Vienne;3124;42334;2116;59601;3590;44236;2644;32327;3956;21450;3867;25215;2545;33684;3198;40239
74;87;Haute-Vienne;2524;37192;1938;56117;2616;39644;1828;28540;2880;20652;2785;23170;1836;29052;2551;36515
41;88;Vosges;3059;42960;2217;62859;3538;44911;2329;31630;3113;18038;2889;20442;1422;22127;1802;27368
26;89;Yonne;3306;40223;2346;55066;2989;41209;2343;29511;2332;16612;2197;19259;1113;19482;1520;25338
43;90;TerritoiredeBelfort;1526;13232;1015;19338;1395;14525;1067;11058;1311;6940;1147;7700;872;12693;925;13029
11;91;Essonne;10768;104957;7233;130008;8094;90837;6206;76788;11336;65336;11094;77414;9267;135144;10590;146374
11;92;Hauts-de-Seine;8864;103088;5969;141986;6070;69254;4362;66705;10538;69595;11428;91285;12785;260174;16192;281555
11;93;Seine-Saint-Denis;18718;196556;12595;216387;9810;95226;8006;82247;14421;76046;15607;85165;8750;112426;11878;129871
11;94;Val-de-Marne;10537;123421;6764;150680;6714;77982;5345;70927;11718;69871;11818;84530;9641;154676;12986;176732
11;95;Val-d'Oise;11685;111689;7810;137869;8820;88020;6068;75254;11641;62000;11752;72260;7813;104355;9880;120151
01;971;Guadeloupe;4222;56372;2224;70487;2727;25217;1776;25019;3441;16634;3473;24600;1061;19878;1686;29982
02;972;Martinique;3782;58151;2273;68550;2835;23607;1842;25259;2768;15063;2905;22303;863;21023;1293;32652
03;973;Guyane;5682;31883;5920;34342;2284;10412;1743;8091;1464;7099;1542;7505;480;9757;820;11648
04;974;R‚union;13627;118744;9747;143293;8659;49085;6428;38792;7199;29197;8708;37671;2680;41123;4288;49893
