RR15;DR15;LIBELLE15;16_25_H_non_dip;25_H_non_dip;16_25_F_non_dip;25_F_non_dip;16_25_H_bep;25_H_bep;16_25_F_bep;25_F_bep;16_25_H_Bac;25_H_Bac;16_25_F_Bac;25_F_Bac;16_25_H_sup;25_H_sup;16_25_F_sup;25_F_sup
82;01;Ain; 4 627   ; 66 912   ; 3 434   ; 88 338   ; 5 609   ; 55 214   ; 3 194   ; 38 936   ; 2 890   ; 18 952   ; 3 041   ; 21 384   ; 2 069   ; 26 882   ; 2 431   ; 27 660   
22;02;Aisne; 6 669   ; 84 366   ; 4 885   ; 115 114   ; 5 917   ; 51 940   ; 3 848   ; 34 372   ; 2 875   ; 15 609   ; 3 074   ; 16 873   ; 1 514   ; 18 262   ; 2 156   ; 19 654   
83;03;Allier; 2 917   ; 55 366   ; 1 959   ; 77 938   ; 3 347   ; 37 795   ; 2 089   ; 28 204   ; 1 982   ; 11 912   ; 2 150   ; 13 499   ; 1 038   ; 13 630   ; 1 377   ; 14 813   
93;04;Alpes-de-Haute-Provence; 1 241   ; 20 154   ; 923   ; 26 082   ; 1 279   ; 14 507   ; 802   ; 10 638   ; 654   ; 5 852   ; 565   ; 7 015   ; 395   ; 7 576   ; 482   ; 8 357   
93;05;Hautes-Alpes; 994   ; 17 065   ; 611   ; 20 874   ; 1 120   ; 12 827   ; 702   ; 8 851   ; 716   ; 5 194   ; 746   ; 6 457   ; 392   ; 6 374   ; 563   ; 8 005   
93;06;Alpes-Maritimes; 8 655   ; 141 059   ; 6 518   ; 194 642   ; 7 744   ; 79 063   ; 4 851   ; 75 606   ; 4 341   ; 42 645   ; 5 201   ; 56 441   ; 2 818   ; 67 689   ; 4 458   ; 72 873   
82;07;ArdŠche; 2 199   ; 46 337   ; 1 440   ; 58 619   ; 2 610   ; 28 271   ; 1 421   ; 20 712   ; 1 736   ; 10 047   ; 1 667   ; 12 538   ; 1 044   ; 12 898   ; 1 294   ; 14 359   
21;08;Ardennes; 3 269   ; 44 968   ; 2 666   ; 63 068   ; 3 087   ; 29 686   ; 2 196   ; 18 425   ; 1 822   ; 8 777   ; 1 646   ; 9 108   ; 863   ; 9 423   ; 1 084   ; 10 066   
73;09;AriŠge; 973   ; 23 552   ; 820   ; 30 204   ; 1 340   ; 13 428   ; 816   ; 9 648   ; 724   ; 5 584   ; 648   ; 6 496   ; 320   ; 5 988   ; 356   ; 6 528   
21;10;Aube; 3 069   ; 44 657   ; 2 661   ; 63 087   ; 3 208   ; 30 978   ; 2 043   ; 20 427   ; 1 561   ; 8 544   ; 1 835   ; 9 311   ; 955   ; 10 736   ; 1 154   ; 11 403   
91;11;Aude; 3 359   ; 51 713   ; 2 168   ; 66 269   ; 2 650   ; 28 545   ; 1 622   ; 22 454   ; 1 567   ; 12 418   ; 1 757   ; 14 698   ; 769   ; 13 975   ; 1 055   ; 14 974   
73;12;Aveyron; 1 656   ; 44 239   ; 893   ; 58 545   ; 2 414   ; 28 448   ; 1 099   ; 17 604   ; 1 621   ; 9 887   ; 1 329   ; 12 296   ; 1 221   ; 11 247   ; 1 350   ; 13 138   
93;13;Bouches-du-Rh“ne; 18 307   ; 251 936   ; 13 201   ; 322 615   ; 14 319   ; 145 265   ; 10 111   ; 130 537   ; 8 906   ; 67 708   ; 9 394   ; 83 705   ; 6 174   ; 115 922   ; 8 291   ; 124 233   
25;14;Calvados; 6 340   ; 87 960   ; 4 908   ; 123 262   ; 7 040   ; 60 716   ; 4 452   ; 45 677   ; 3 724   ; 19 575   ; 4 022   ; 22 807   ; 2 114   ; 30 311   ; 3 142   ; 32 800   
83;15;Cantal; 1 044   ; 27 813   ; 755   ; 34 332   ; 1 543   ; 15 765   ; 917   ; 9 908   ; 1 043   ; 5 272   ; 910   ; 6 918   ; 611   ; 5 203   ; 662   ; 6 317   
54;16;Charente; 3 032   ; 51 769   ; 1 939   ; 72 266   ; 3 466   ; 38 706   ; 2 235   ; 27 139   ; 1 858   ; 11 296   ; 1 957   ; 13 858   ; 943   ; 13 145   ; 1 272   ; 14 288   
54;17;Charente-Maritime; 5 236   ; 87 278   ; 3 829   ; 118 675   ; 5 924   ; 58 864   ; 3 943   ; 44 865   ; 2 837   ; 19 520   ; 3 018   ; 23 062   ; 1 448   ; 23 130   ; 1 963   ; 25 027   
24;18;Cher; 2 595   ; 47 667   ; 1 715   ; 67 858   ; 2 795   ; 35 833   ; 1 989   ; 24 659   ; 1 602   ; 10 760   ; 1 734   ; 11 789   ; 1 067   ; 13 497   ; 1 213   ; 13 215   
74;19;CorrŠze; 1 587   ; 37 824   ; 1 266   ; 53 086   ; 1 948   ; 26 200   ; 1 261   ; 18 148   ; 1 240   ; 8 738   ; 1 206   ; 10 178   ; 712   ; 9 750   ; 754   ; 10 429   
94;2A;Corse-du-Sud; 1 313   ; 21 107   ; 960   ; 24 305   ; 919   ; 7 878   ; 570   ; 6 871   ; 484   ; 5 534   ; 613   ; 7 253   ; 172   ; 5 627   ; 366   ; 6 587   
94;2B;Haute-Corse; 1 799   ; 26 522   ; 1 166   ; 29 370   ; 1 150   ; 9 635   ; 659   ; 8 003   ; 628   ; 6 192   ; 786   ; 7 729   ; 301   ; 6 238   ; 442   ; 7 376   
