RR15;DR15;LIBELLE15;16_25_H_non_dip;25_H_non_dip;16_25_F_non_dip;25_F_non_dip;16_25_H_bep;25_H_bep;16_25_F_bep;25_F_bep;16_25_H_Bac;25_H_Bac;16_25_F_Bac;25_F_Bac;16_25_H_sup;25_H_sup;16_25_F_sup;25_F_sup
26;21;C“te-d'Or; 4 407   ; 63 743   ; 2 927   ; 88 253   ; 4 946   ; 49 863   ; 3 325   ; 36 864   ; 3 256   ; 18 345   ; 3 001   ; 20 421   ; 1 969   ; 28 270   ; 2 718   ; 31 074   
53;22;C“tes-d'Armor; 3 232   ; 77 770   ; 2 145   ; 115 100   ; 5 053   ; 56 532   ; 2 930   ; 41 042   ; 3 099   ; 21 179   ; 3 013   ; 22 154   ; 2 108   ; 24 801   ; 2 285   ; 26 694   
74;23;Creuse; 776   ; 23 353   ; 635   ; 31 442   ; 1 068   ; 14 011   ; 660   ; 8 965   ; 691   ; 4 042   ; 586   ; 4 781   ; 321   ; 4 103   ; 373   ; 4 719   
72;24;Dordogne; 3 305   ; 67 995   ; 2 514   ; 88 905   ; 3 627   ; 39 557   ; 2 391   ; 30 251   ; 1 945   ; 13 548   ; 2 069   ; 16 580   ; 907   ; 15 543   ; 1 128   ; 16 849   
43;25;Doubs; 4 469   ; 64 611   ; 3 312   ; 89 605   ; 4 962   ; 50 166   ; 3 235   ; 35 508   ; 2 891   ; 16 586   ; 2 815   ; 17 513   ; 2 227   ; 26 005   ; 2 698   ; 27 372   
82;26;Dr“me; 4 184   ; 64 373   ; 2 948   ; 82 918   ; 3 888   ; 41 184   ; 2 567   ; 31 017   ; 2 314   ; 16 046   ; 2 360   ; 18 784   ; 1 464   ; 21 444   ; 1 838   ; 24 473   
23;27;Eure; 6 228   ; 79 466   ; 4 405   ; 106 024   ; 6 204   ; 54 830   ; 3 801   ; 38 467   ; 2 954   ; 16 349   ; 3 256   ; 18 439   ; 1 660   ; 22 369   ; 2 116   ; 22 675   
24;28;Eure-et-Loir; 4 759   ; 60 230   ; 3 149   ; 80 529   ; 4 881   ; 42 567   ; 3 014   ; 28 953   ; 2 317   ; 12 522   ; 2 522   ; 14 488   ; 1 526   ; 17 042   ; 1 888   ; 17 735   
53;29;FinistŠre; 4 815   ; 103 239   ; 3 050   ; 160 872   ; 7 987   ; 91 107   ; 4 565   ; 66 120   ; 6 190   ; 37 733   ; 5 005   ; 37 149   ; 3 782   ; 45 342   ; 4 338   ; 47 641   
91;30;Gard; 6 351   ; 94 733   ; 4 611   ; 121 568   ; 5 412   ; 55 174   ; 3 505   ; 43 981   ; 2 946   ; 23 212   ; 3 128   ; 27 353   ; 1 534   ; 31 768   ; 2 192   ; 34 853   
73;31;Haute-Garonne; 7 132   ; 113 750   ; 4 730   ; 154 072   ; 8 388   ; 87 756   ; 4 831   ; 69 678   ; 5 726   ; 42 501   ; 6 445   ; 50 962   ; 5 382   ; 87 938   ; 6 818   ; 89 572   
73;32;Gers; 1 075   ; 30 971   ; 839   ; 38 523   ; 1 372   ; 16 699   ; 791   ; 11 722   ; 863   ; 6 913   ; 748   ; 8 481   ; 575   ; 7 788   ; 550   ; 8 880   
72;33;Gironde; 12 545   ; 157 500   ; 9 071   ; 219 011   ; 11 814   ; 124 470   ; 8 091   ; 105 340   ; 6 863   ; 48 504   ; 7 314   ; 56 853   ; 4 471   ; 78 781   ; 6 229   ; 83 645   
91;34;H‚rault; 8 566   ; 121 386   ; 6 009   ; 158 077   ; 6 941   ; 68 416   ; 4 810   ; 58 510   ; 4 006   ; 34 246   ; 5 131   ; 42 156   ; 2 698   ; 57 986   ; 4 064   ; 63 938   
53;35;Ille-et-Vilaine; 6 453   ; 106 432   ; 3 603   ; 149 458   ; 8 707   ; 81 991   ; 5 358   ; 61 229   ; 5 947   ; 30 238   ; 5 599   ; 32 692   ; 4 192   ; 49 126   ; 5 291   ; 51 390   
24;36;Indre; 1 962   ; 41 153   ; 1 507   ; 55 212   ; 2 542   ; 25 836   ; 1 430   ; 17 217   ; 1 251   ; 6 887   ; 1 355   ; 7 534   ; 668   ; 7 456   ; 831   ; 8 533   
24;37;Indre-et-Loire; 4 512   ; 72 466   ; 2 894   ; 103 396   ; 5 560   ; 56 510   ; 3 219   ; 40 624   ; 3 359   ; 19 406   ; 3 511   ; 21 883   ; 2 202   ; 28 771   ; 3 100   ; 30 948   
82;38;IsŠre; 9 056   ; 132 217   ; 6 375   ; 174 510   ; 10 128   ; 99 193   ; 5 831   ; 75 729   ; 6 509   ; 38 716   ; 6 746   ; 45 752   ; 5 131   ; 74 506   ; 6 067   ; 75 225   
43;39;Jura; 2 193   ; 37 972   ; 1 643   ; 49 681   ; 2 222   ; 26 899   ; 1 671   ; 19 639   ; 1 370   ; 8 421   ; 1 469   ; 9 605   ; 940   ; 10 341   ; 955   ; 11 828   
72;40;Landes; 2 197   ; 48 792   ; 1 671   ; 67 736   ; 3 209   ; 36 963   ; 2 072   ; 28 387   ; 1 895   ; 13 844   ; 1 878   ; 14 682   ; 1 018   ; 14 127   ; 1 268   ; 14 971   
24;41;Loir-et-Cher; 3 085   ; 50 733   ; 2 197   ; 68 906   ; 3 318   ; 33 838   ; 2 156   ; 22 465   ; 1 880   ; 9 657   ; 1 814   ; 11 516   ; 939   ; 12 804   ; 1 297   ; 13 583   
82;42;Loire; 5 762   ; 100 123   ; 4 019   ; 141 983   ; 6 773   ; 77 486   ; 4 452   ; 58 530   ; 4 824   ; 24 314   ; 4 408   ; 27 704   ; 3 378   ; 31 076   ; 3 624   ; 36 082   
83;43;Haute-Loire; 1 469   ; 34 242   ; 1 032   ; 43 786   ; 2 160   ; 22 012   ; 1 125   ; 14 157   ; 1 510   ; 7 300   ; 1 379   ; 9 325   ; 802   ; 8 170   ; 1 026   ; 9 625   
52;44;Loire-Atlantique; 9 178   ; 116 834   ; 5 684   ; 185 479   ; 12 005   ; 127 208   ; 7 529   ; 97 948   ; 7 800   ; 42 528   ; 7 771   ; 45 878   ; 4 912   ; 64 411   ; 6 219   ; 64 517   
24;45;Loiret; 6 284   ; 82 007   ; 4 451   ; 112 414   ; 5 988   ; 63 475   ; 3 763   ; 46 655   ; 3 440   ; 20 853   ; 3 789   ; 23 387   ; 2 516   ; 32 528   ; 3 302   ; 33 620   
73;46;Lot; 1 236   ; 26 524   ; 850   ; 34 849   ; 1 288   ; 16 339   ; 687   ; 11 589   ; 832   ; 6 267   ; 791   ; 7 881   ; 522   ; 7 650   ; 597   ; 8 292   
72;47;Lot-et-Garonne; 2 716   ; 51 206   ; 2 042   ; 66 686   ; 3 032   ; 30 626   ; 1 912   ; 23 394   ; 1 526   ; 10 610   ; 1 598   ; 12 237   ; 709   ; 11 826   ; 1 010   ; 13 789   
91;48;LozŠre; 635   ; 12 541   ; 348   ; 14 581   ; 651   ; 7 210   ; 363   ; 4 718   ; 426   ; 3 211   ; 389   ; 3 644   ; 252   ; 3 493   ; 371   ; 3 945   
52;49;Maine-et-Loire; 7 461   ; 99 186   ; 4 703   ; 138 240   ; 8 843   ; 70 158   ; 5 566   ; 50 322   ; 5 532   ; 22 812   ; 5 155   ; 24 325   ; 3 329   ; 33 493   ; 4 171   ; 35 251   
25;50;Manche; 4 206   ; 77 164   ; 3 150   ; 106 045   ; 5 572   ; 49 990   ; 3 598   ; 33 173   ; 2 802   ; 14 578   ; 2 710   ; 16 076   ; 1 409   ; 16 813   ; 2 112   ; 17 838   
21;51;Marne; 6 002   ; 77 251   ; 4 083   ; 104 195   ; 5 952   ; 53 517   ; 3 448   ; 39 118   ; 3 720   ; 18 693   ; 4 113   ; 21 031   ; 2 487   ; 26 305   ; 3 041   ; 29 266   
21;52;Haute-Marne; 1 833   ; 30 837   ; 1 450   ; 43 324   ; 2 134   ; 21 475   ; 1 413   ; 13 550   ; 1 209   ; 6 146   ; 1 256   ; 6 182   ; 621   ; 6 175   ; 720   ; 6 885   
52;53;Mayenne; 2 922   ; 45 405   ; 1 622   ; 59 695   ; 3 618   ; 28 522   ; 2 130   ; 19 922   ; 2 091   ; 8 443   ; 2 022   ; 9 160   ; 1 305   ; 10 109   ; 1 587   ; 11 152   
41;54;Meurthe-et-Moselle; 6 212   ; 84 495   ; 4 276   ; 124 750   ; 6 416   ; 74 122   ; 4 498   ; 56 364   ; 4 323   ; 23 753   ; 4 671   ; 26 334   ; 2 902   ; 37 888   ; 3 936   ; 39 927   
41;55;Meuse; 1 762   ; 29 042   ; 1 162   ; 40 671   ; 2 180   ; 21 349   ; 1 155   ; 14 641   ; 1 330   ; 6 528   ; 1 215   ; 6 214   ; 782   ; 6 353   ; 868   ; 6 847   
53;56;Morbihan; 4 534   ; 87 044   ; 2 786   ; 127 725   ; 6 529   ; 70 113   ; 4 083   ; 50 571   ; 4 438   ; 24 652   ; 4 092   ; 25 449   ; 2 364   ; 28 887   ; 2 981   ; 31 192   
41;57;Moselle; 9 356   ; 129 820   ; 7 275   ; 193 457   ; 11 915   ; 119 264   ; 7 793   ; 86 802   ; 6 425   ; 35 352   ; 6 474   ; 34 350   ; 3 986   ; 46 903   ; 4 914   ; 43 040   
26;58;NiŠvre; 1 844   ; 36 497   ; 1 408   ; 51 623   ; 2 381   ; 26 110   ; 1 400   ; 17 939   ; 1 356   ; 7 456   ; 1 344   ; 8 469   ; 590   ; 7 901   ; 856   ; 8 902   
31;59;Nord; 26 109   ; 321 583   ; 20 765   ; 482 597   ; 24 814   ; 225 656   ; 18 023   ; 162 224   ; 15 769   ; 78 516   ; 17 335   ; 84 735   ; 10 915   ; 124 548   ; 14 502   ; 120 693   
22;60;Oise; 9 201   ; 107 705   ; 6 423   ; 137 179   ; 8 270   ; 73 421   ; 5 333   ; 53 784   ; 4 145   ; 25 232   ; 5 005   ; 27 296   ; 2 593   ; 35 625   ; 3 773   ; 36 353   
25;61;Orne; 3 005   ; 49 423   ; 2 151   ; 65 960   ; 3 289   ; 29 807   ; 2 063   ; 20 160   ; 1 717   ; 7 775   ; 1 561   ; 8 715   ; 935   ; 9 566   ; 1 107   ; 10 614   
31;62;Pas-de-Calais; 14 266   ; 204 720   ; 12 298   ; 309 677   ; 15 827   ; 138 628   ; 11 548   ; 91 066   ; 9 917   ; 42 679   ; 10 337   ; 43 940   ; 5 316   ; 49 881   ; 6 675   ; 48 949   
83;63;Puy-de-D“me; 4 883   ; 82 433   ; 3 066   ; 112 669   ; 5 568   ; 63 586   ; 3 167   ; 44 783   ; 3 404   ; 21 362   ; 3 359   ; 26 333   ; 2 274   ; 31 767   ; 2 936   ; 35 413   
72;64;Pyr‚n‚es-Atlantiques; 3 682   ; 75 161   ; 2 492   ; 107 740   ; 5 696   ; 66 020   ; 3 448   ; 52 677   ; 3 343   ; 23 195   ; 3 141   ; 28 370   ; 2 192   ; 35 057   ; 2 795   ; 38 407   
73;65;Hautes-Pyr‚n‚es; 1 539   ; 31 982   ; 1 056   ; 44 165   ; 1 877   ; 26 227   ; 1 312   ; 19 527   ; 1 023   ; 8 638   ; 986   ; 10 801   ; 668   ; 10 215   ; 948   ; 12 393   
91;66;Pyr‚n‚es-Orientales; 4 259   ; 61 029   ; 2 858   ; 82 739   ; 3 264   ; 35 113   ; 2 046   ; 29 286   ; 1 878   ; 15 286   ; 2 067   ; 18 113   ; 905   ; 18 393   ; 1 372   ; 20 789   
42;67;Bas-Rhin; 10 334   ; 104 129   ; 8 132   ; 163 670   ; 11 706   ; 121 974   ; 7 698   ; 92 463   ; 6 151   ; 38 283   ; 6 988   ; 38 824   ; 4 411   ; 63 401   ; 6 359   ; 61 456   
42;68;Haut-Rhin; 7 832   ; 79 451   ; 5 388   ; 121 365   ; 8 040   ; 88 022   ; 5 803   ; 66 648   ; 4 112   ; 27 219   ; 4 607   ; 26 018   ; 2 646   ; 36 851   ; 3 858   ; 35 062   
82;69;Rh“ne; 13 058   ; 182 995   ; 9 341   ; 250 291   ; 13 573   ; 127 471   ; 9 037   ; 105 511   ; 9 103   ; 56 732   ; 9 932   ; 66 382   ; 7 576   ; 117 605   ; 10 635   ; 123 837   
43;70;Haute-Sa“ne; 2 161   ; 36 694   ; 1 736   ; 49 468   ; 2 500   ; 24 307   ; 1 705   ; 15 952   ; 1 186   ; 7 071   ; 1 116   ; 7 294   ; 749   ; 8 432   ; 963   ; 8 569   
26;71;Sa“ne-et-Loire; 4 680   ; 83 041   ; 3 431   ; 122 363   ; 5 769   ; 63 526   ; 3 305   ; 39 976   ; 3 122   ; 16 572   ; 3 177   ; 19 389   ; 1 933   ; 20 399   ; 2 240   ; 22 083   
52;72;Sarthe; 5 214   ; 77 585   ; 3 428   ; 109 260   ; 5 999   ; 58 409   ; 4 124   ; 39 148   ; 3 202   ; 15 401   ; 3 320   ; 17 508   ; 1 920   ; 20 869   ; 2 616   ; 22 012   
82;73;Savoie; 2 646   ; 45 918   ; 1 850   ; 62 055   ; 3 842   ; 42 285   ; 2 265   ; 30 101   ; 2 442   ; 14 319   ; 2 353   ; 17 401   ; 1 606   ; 19 524   ; 1 911   ; 22 864   
82;74;Haute-Savoie; 4 551   ; 73 830   ; 3 791   ; 98 495   ; 6 364   ; 70 342   ; 3 991   ; 52 134   ; 3 636   ; 23 848   ; 3 853   ; 29 402   ; 2 616   ; 37 738   ; 3 394   ; 40 469   
11;75;Paris; 11 159   ; 196 887   ; 9 462   ; 274 207   ; 8 157   ; 85 678   ; 6 382   ; 84 962   ; 10 967   ; 86 836   ; 12 535   ; 117 225   ; 15 272   ; 327 596   ; 22 640   ; 339 088   
23;76;Seine-Maritime; 12 887   ; 166 619   ; 9 424   ; 241 892   ; 13 129   ; 125 425   ; 9 237   ; 90 253   ; 6 982   ; 36 022   ; 7 992   ; 39 886   ; 4 285   ; 53 026   ; 5 690   ; 57 337   
11;77;Seine-et-Marne; 12 150   ; 142 353   ; 8 305   ; 182 956   ; 12 100   ; 112 827   ; 7 326   ; 90 380   ; 7 795   ; 44 923   ; 8 941   ; 52 504   ; 4 572   ; 65 655   ; 6 484   ; 67 000   
11;78;Yvelines; 10 547   ; 126 942   ; 7 023   ; 173 974   ; 10 929   ; 100 192   ; 7 225   ; 89 460   ; 7 505   ; 53 678   ; 8 249   ; 67 400   ; 5 978   ; 139 411   ; 8 379   ; 125 093   
54;79;Deux-SŠvres; 2 831   ; 56 801   ; 1 784   ; 73 456   ; 3 628   ; 36 034   ; 2 206   ; 25 558   ; 2 226   ; 10 910   ; 2 192   ; 12 320   ; 1 372   ; 13 195   ; 1 685   ; 14 822   
22;80;Somme; 6 589   ; 86 082   ; 4 880   ; 118 705   ; 5 713   ; 50 189   ; 3 475   ; 32 520   ; 3 301   ; 16 081   ; 3 457   ; 16 922   ; 1 963   ; 22 076   ; 2 677   ; 23 298   
73;81;Tarn; 2 763   ; 55 766   ; 1 750   ; 73 342   ; 2 979   ; 33 669   ; 1 617   ; 24 915   ; 1 824   ; 12 295   ; 1 806   ; 15 453   ; 1 054   ; 15 433   ; 1 314   ; 17 441   
73;82;Tarn-et-Garonne; 2 162   ; 34 092   ; 1 500   ; 44 148   ; 2 181   ; 20 254   ; 1 191   ; 14 705   ; 991   ; 7 269   ; 1 059   ; 8 626   ; 626   ; 8 398   ; 762   ; 9 479   
93;83;Var; 9 599   ; 128 383   ; 6 656   ; 173 378   ; 8 293   ; 81 172   ; 5 204   ; 68 869   ; 4 251   ; 39 637   ; 4 552   ; 47 145   ; 2 149   ; 49 567   ; 2 935   ; 50 350   
93;84;Vaucluse; 5 652   ; 72 736   ; 4 229   ; 95 379   ; 4 825   ; 44 885   ; 3 487   ; 34 510   ; 2 077   ; 18 237   ; 2 561   ; 21 977   ; 1 427   ; 25 119   ; 1 873   ; 27 792   
52;85;Vend‚e; 4 532   ; 80 137   ; 2 547   ; 113 669   ; 7 333   ; 63 032   ; 3 990   ; 42 136   ; 4 197   ; 17 519   ; 3 784   ; 18 416   ; 2 365   ; 18 885   ; 2 699   ; 19 955   
54;86;Vienne; 3 080   ; 56 994   ; 2 118   ; 77 083   ; 3 811   ; 38 577   ; 2 387   ; 27 077   ; 2 632   ; 12 828   ; 2 662   ; 15 434   ; 1 603   ; 19 491   ; 1 937   ; 20 961   
74;87;Haute-Vienne; 2 362   ; 52 372   ; 1 873   ; 74 188   ; 2 802   ; 37 306   ; 1 955   ; 26 034   ; 2 205   ; 12 289   ; 1 949   ; 14 251   ; 1 481   ; 17 319   ; 1 716   ; 19 698   
41;88;Vosges; 3 727   ; 60 236   ; 2 556   ; 82 827   ; 4 220   ; 39 140   ; 2 818   ; 26 840   ; 2 417   ; 10 956   ; 2 441   ; 12 636   ; 1 417   ; 13 467   ; 1 591   ; 14 706   
26;89;Yonne; 3 833   ; 52 381   ; 2 968   ; 70 014   ; 3 740   ; 36 375   ; 2 354   ; 25 818   ; 1 783   ; 10 515   ; 1 775   ; 11 977   ; 964   ; 12 442   ; 1 144   ; 13 124   
43;90;Territoire de Belfort; 1 416   ; 16 670   ; 1 060   ; 24 218   ; 1 364   ; 14 701   ; 909   ; 11 503   ; 731   ; 4 720   ; 716   ; 4 975   ; 577   ; 7 959   ; 661   ; 7 043   
11;91;Essonne; 10 310   ; 122 723   ; 6 625   ; 160 217   ; 9 994   ; 96 899   ; 5 973   ; 81 786   ; 6 692   ; 45 907   ; 7 460   ; 54 386   ; 4 939   ; 89 072   ; 7 032   ; 84 145   
11;92;Hauts-de-Seine; 8 885   ; 135 811   ; 7 309   ; 193 982   ; 8 201   ; 85 993   ; 6 237   ; 81 536   ; 7 151   ; 56 764   ; 8 600   ; 74 695   ; 8 148   ; 175 587   ; 11 500   ; 170 091   
11;93;Seine-Saint-Denis; 17 507   ; 200 676   ; 13 877   ; 240 969   ; 12 016   ; 109 783   ; 8 581   ; 95 208   ; 8 210   ; 47 644   ; 10 754   ; 52 587   ; 4 684   ; 64 931   ; 7 399   ; 67 660   
11;94;Val-de-Marne; 9 757   ; 149 037   ; 7 347   ; 192 708   ; 8 643   ; 91 147   ; 6 227   ; 81 741   ; 7 162   ; 49 189   ; 8 607   ; 59 880   ; 5 440   ; 98 537   ; 8 045   ; 102 158   
11;95;Val-d'Oise; 11 691   ; 126 468   ; 8 127   ; 162 852   ; 10 220   ; 95 642   ; 7 024   ; 83 652   ; 6 264   ; 41 550   ; 8 080   ; 47 884   ; 4 256   ; 67 125   ; 6 415   ; 66 563   
01;971;Guadeloupe; 6 874   ; 69 144   ; 4 584   ; 80 900   ; 2 886   ; 18 750   ; 2 362   ; 18 848   ; 1 729   ; 8 679   ; 2 529   ; 12 841   ; 566   ; 11 060   ; 945   ; 12 885   
02;972;Martinique; 5 314   ; 70 808   ; 3 463   ; 80 951   ; 2 681   ; 19 265   ; 2 027   ; 20 939   ; 1 478   ; 8 374   ; 1 980   ; 12 953   ; 630   ; 11 482   ; 1 021   ; 15 094   
03;973;Guyane; 4 184   ; 21 204   ; 4 437   ; 23 359   ; 1 231   ; 7 787   ; 796   ; 5 867   ; 612   ; 3 408   ; 572   ; 3 706   ; 334   ; 5 301   ; 311   ; 5 054   
04;974;R‚union; 17 518   ; 125 795   ; 15 346   ; 144 740   ; 6 997   ; 28 401   ; 5 726   ; 21 460   ; 3 177   ; 12 275   ; 5 087   ; 15 758   ; 1 363   ; 18 707   ; 2 168   ; 18 311   
