RR15;DR15;LIBELLE15;16_25_H_non_dip;25_H_non_dip;16_25_F_non_dip;25_F_non_dip;16_25_H_bep;25_H_bep;16_25_F_bep;25_F_bep;16_25_H_Bac;25_H_Bac;16_25_F_Bac;25_F_Bac;16_25_H_sup;25_H_sup;16_25_F_sup;25_F_sup
82;01;Ain;10196;80912;9304;99816;7376;25292;4840;14524;1936;10788;2640;9676;792;9508;1100;8352
22;02;Aisne;17536;106580;17696;136008;9076;26064;5588;13696;2152;11516;2900;8216;852;8372;1228;7564
83;03;Allier;8556;77684;7876;102828;6484;20756;4220;11796;1664;9256;1944;8100;636;6864;864;6920
93;04;Alpes-de-Haute-Provence;2852;25012;2500;30292;1908;5744;1276;3604;604;3892;872;3376;232;3456;292;3232
93;05;Hautes-Alpes;2544;21968;2132;25248;1832;5568;1092;3324;684;3164;1132;3232;224;2556;416;3116
93;06;Alpes-Maritimes;20300;185012;16524;253172;8572;32412;7572;28024;3472;32476;5704;32028;1452;29404;2784;25288
82;07;ArdŠche;6580;59012;5504;71984;4412;12552;2812;7544;1228;5788;1716;5568;504;5088;736;5224
21;08;Ardennes;9488;59812;9500;75104;5720;15260;3368;7552;1224;6072;1628;4484;440;4432;716;4124
73;09;AriŠge;2856;33288;2484;39520;2084;5876;1284;3672;572;3416;908;3072;236;2744;256;2540
21;10;Aube;8140;58980;8156;75808;5460;16248;3664;8548;1200;6048;1420;4720;528;4644;692;4092
91;11;Aude;7712;65424;5368;80316;3776;11500;2380;7672;1420;7384;2060;6868;436;5612;512;5504
73;12;Aveyron;4880;64004;4492;78704;5344;14412;2912;6860;1468;6168;2044;5924;496;4484;704;4912
93;13;Bouches-du-Rh“ne;44728;343748;36496;420384;18916;70212;14872;55728;7632;50572;11056;46376;3340;48296;5308;45296
25;14;Calvados;18472;104184;17336;139780;9568;30680;7340;19260;2344;12680;3560;10688;1148;13260;1716;12752
83;15;Cantal;3936;37484;3400;44768;3396;7376;1716;3552;764;3336;1228;3576;196;2520;296;2704
54;16;Charente;7892;70968;7804;90864;7040;19780;4200;11092;1416;7364;2052;7520;476;5976;800;5556
54;17;Charente-Maritime;13932;107300;12296;136296;9100;27036;5972;17388;2204;12380;2688;11100;644;8740;940;8568
24;18;Cher;8120;66344;7780;86712;5576;19548;3788;9804;1372;7580;1672;5980;700;6016;720;5084
74;19;CorrŠze;4516;53428;4468;69568;4908;13896;2596;7964;1040;6748;1384;5772;428;4280;540;4232
94;2A;Corse-du-Sud;3532;28076;2624;30172;712;2184;568;1756;484;3448;708;3088;108;2084;208;2032
94;2B;Haute-Corse;5040;36972;3156;36268;1036;2796;792;2000;468;3280;836;3140;108;1972;216;1924
26;21;C“te-d'Or;11000;83836;10744;108576;8456;25772;5748;16576;2124;12892;3504;11556;1088;13384;1712;12316
53;22;C“tes-d'Armor;10156;106048;8664;144240;10304;29172;6960;17000;2728;12780;3620;9884;1112;11860;1448;10468
74;23;Creuse;2384;35088;2504;43384;2760;7404;1588;3412;556;2756;788;2608;232;1956;272;2000
72;24;Dordogne;8544;88968;8064;108860;6640;17364;4504;11884;1428;8556;1848;7580;516;6884;732;6356
43;25;Doubs;12992;82900;12836;105732;9200;27484;6032;16068;2000;12264;2960;9936;948;11016;1592;10656
82;26;Dr“me;9924;77432;8364;95944;6092;18964;4152;13292;1560;10544;2640;9284;708;8952;1140;8572
23;27;Eure;14528;90120;14000;113160;7668;23700;5144;13960;1652;9888;2356;7544;644;9224;1008;7840
24;28;Eure-et-Loir;10504;72624;10044;89016;6024;20552;4036;10908;1364;8128;2108;6848;632;6428;928;6012
