RR15;DR15;LIBELLE15;16_25_H_non_dip;25_H_non_dip;16_25_F_non_dip;25_F_non_dip;16_25_H_bep;25_H_bep;16_25_F_bep;25_F_bep;16_25_H_Bac;25_H_Bac;16_25_F_Bac;25_F_Bac;16_25_H_sup;25_H_sup;16_25_F_sup;25_F_sup
91;34;H‚rault;16520;138145;15275;175750;6390;18265;4840;13295;2555;13820;3235;12550;1325;15605;2330;12955
53;35;Ille-et-Vilaine;19145;132920;20790;178390;12665;27425;9060;15990;3120;11530;3485;9740;1570;11775;2650;9705
24;36;Indre;6970;58855;7160;71620;4980;9340;2835;4540;810;4680;955;2805;250;2530;560;2040
24;37;Indre-et-Loire;12635;91555;14230;120430;9080;21760;5215;11635;1970;9085;2205;8090;980;8485;1740;7020
82;38;IsŠre;22595;163505;23030;201740;12950;36345;8915;24040;3615;20105;4865;16090;1970;20915;3265;16815
43;39;Jura;6045;51595;5960;62350;4405;9900;3135;5865;925;4485;1095;3975;500;3295;555;2915
72;40;Landes;6440;63505;6825;80705;5730;12340;3500;7140;1195;5410;1315;4515;380;4160;590;3000
24;41;Loir-et-Cher;8040;63130;8795;78000;5650;11690;2900;5515;935;3890;1265;3560;355;3325;650;2730
82;42;Loire;19810;153130;20955;195345;13945;35225;9335;20745;2920;15150;3445;12740;1440;9830;2070;8405
83;43;Haute-Loire;5285;49030;4930;60220;3560;6630;1575;2990;765;3250;990;3110;325;2220;525;2090
52;44;Loire-Atlantique;21870;154430;26070;225640;19720;52160;13820;28905;4495;21480;5165;15450;1915;15650;3040;11695
24;45;Loiret;13080;99195;14830;121315;10465;23285;6565;13455;2075;9820;2545;8470;1130;8605;1610;6415
73;46;Lot;3305;37175;3270;44010;2440;4680;1265;2495;665;2920;695;2655;295;2025;375;1880
72;47;Lot-et-Garonne;6935;68105;7035;83575;5080;11010;3160;6665;1045;5085;1255;4460;375;3785;620;3020
91;48;LozŠre;1760;18465;1700;20345;1140;2445;630;1420;415;1210;465;1460;150;1125;205;1025
52;49;Maine-et-Loire;20020;120115;22955;156815;11815;24025;7380;13770;2500;9670;2820;7225;1170;8230;1815;6695
25;50;Manche;14095;95315;14600;123480;8440;14840;4600;7555;1585;5795;1855;5550;590;5010;850;4075
21;51;Marne;17950;101120;18860;124545;9315;23765;6195;13050;2230;9645;2930;7890;1150;8515;2100;6350
21;52;Haute-Marne;6540;42550;7495;53020;4335;10500;2170;4095;825;3410;935;2595;305;2370;490;1925
52;53;Mayenne;8230;54155;9230;70055;5060;9655;3315;5145;955;3035;875;2655;260;2480;510;2135
41;54;Meurthe-et-Moselle;21715;129765;22225;166565;14240;38820;9660;20855;3085;13375;3545;10690;1765;13995;3040;10705
41;55;Meuse;7210;41685;7340;52135;4080;9185;2340;4455;755;3225;935;2310;245;2235;495;1645
53;56;Morbihan;16265;116245;15840;150020;10695;21755;6235;11710;2235;8665;2775;6570;1015;6740;1460;5600
41;57;Moselle;31580;176680;35535;229265;22985;59890;14580;27015;4770;22300;4870;11625;1925;13980;3160;8875
26;58;NiŠvre;7055;57260;6500;71065;4860;10145;2675;5445;795;4085;1005;3695;250;2940;485;2305
31;59;Nord;81635;462535;93845;613020;43235;105880;27210;55065;11295;49545;12690;33695;5585;37590;7920;24015
22;60;Oise;22435;120225;22425;140950;10530;24425;7020;13585;2315;11030;2555;8555;1005;9685;1545;6985
25;61;Orne;9845;61380;10120;77350;5250;10640;3320;5470;1020;3900;1200;3375;405;3015;625;2680
31;62;Pas-de-Calais;47305;275325;55170;364250;26230;53715;14295;22710;5535;20185;5880;13525;2275;13390;3215;9950
83;63;Puy-de-D“me;14880;121065;15575;149060;10515;24405;6160;12870;2490;12185;3160;11840;1330;11180;2315;9365
72;64;Pyr‚n‚es-Atlantiques;10510;108150;11480;141595;10260;24410;7320;15340;1890;11990;2470;10265;930;10660;1485;8605
73;65;Hautes-Pyr‚n‚es;5000;48450;4595;61805;4240;10910;2645;6150;860;4630;1115;4625;405;3885;650;3435
91;66;Pyr‚n‚es-Orientales;6985;72395;6545;90125;3455;8250;2265;6055;935;6050;1135;5185;400;5390;870;4285
42;67;Bas-Rhin;22850;132995;26595;206950;20050;63995;14090;31770;4155;24105;4915;14745;2095;18455;3480;12595
42;68;Haut-Rhin;18080;104325;19815;153735;14770;43085;10605;22210;3270;18340;3245;10025;1025;10930;1885;7695
82;69;Rh“ne;37315;264715;38445;338250;20455;64630;15955;42900;6450;35670;8400;30140;4035;37705;6910;29620
43;70;Haute-Sa“ne;7300;47375;7450;58215;4005;9045;2180;4145;730;3350;1030;2685;240;2360;505;1895
26;71;Sa“ne-et-Loire;14915;122420;17195;155860;11775;26325;6330;12050;2205;8840;2725;7520;780;6865;1430;5280
52;72;Sarthe;14990;94820;16585;124565;9915;23820;5805;12050;1775;6890;2140;6115;690;5865;1160;4665
82;73;Savoie;7590;61205;7330;73285;6300;15085;4055;8655;1315;6490;1720;5860;760;5615;1105;5245
82;74;Haute-Savoie;11625;87690;12250;101870;8560;23570;6280;15250;1995;10960;2925;10155;915;8405;1695;7000
11;75;Paris;49565;412555;54280;617750;23585;73655;19855;61335;12900;73890;17325;92080;10875;150830;17200;113605
23;76;Seine-Maritime;39195;219820;44630;288735;22920;56250;13485;27935;4460;20160;5125;16400;2020;17645;3185;13250
11;77;Seine-et-Marne;22185;146205;23735;176045;11665;34345;8240;21640;2920;17275;3960;14805;1305;15070;1900;10115
11;78;Yvelines;27095;171775;27435;217470;15410;47925;12025;33655;5070;34220;6555;34295;2730;49215;4210;28885
54;79;Deux-SŠvres;9470;75540;9725;89425;6840;11270;4050;6555;1235;4435;1595;3955;400;3650;765;2890
22;80;Somme;18995;109590;21290;137365;8635;19325;4525;9090;1950;8730;2405;6660;1035;6600;1670;5360
73;81;Tarn;9055;78920;7950;96925;5475;11540;3580;7150;1315;6325;1650;5245;425;4635;880;4095
73;82;Tarn-et-Garonne;5050;43675;4980;52935;3125;5965;1600;3530;500;3035;710;2745;165;2205;365;2025
93;83;Var;17250;137590;14405;171920;7800;24400;5750;15330;2375;15910;3030;14035;960;14955;1600;10280
93;84;Vaucluse;11445;87220;10395;104385;5750;13865;3730;8170;1370;8480;1685;6605;620;6525;1135;5825
52;85;Vend‚e;13555;94310;15010;119495;9230;17720;5875;8720;1750;5815;1890;4275;550;4230;865;3540
54;86;Vienne;10795;76765;10880;92295;5880;12490;3680;7155;1405;5340;1840;4750;860;5800;1300;4620
74;87;Haute-Vienne;8530;81075;8970;102790;6305;15025;3720;8410;1450;6710;1535;5795;690;5265;1205;4370
41;88;Vosges;14380;82020;14770;104385;6990;15640;4230;7960;1415;6175;1660;5125;625;4795;945;3655
26;89;Yonne;8650;67765;9065;82220;5525;12170;3215;6145;1135;5570;1335;4505;465;3860;635;3150
43;90;TerritoiredeBelfort;3865;23150;4115;29355;2500;7220;1620;4535;625;3235;790;2350;345;2395;485;1700
11;91;Essonne;24110;152515;23710;188500;12555;45845;10605;30980;3975;27165;5900;24740;2185;30815;3220;20825
11;92;Hauts-de-Seine;32165;253390;34555;333305;18790;63735;15590;46570;7805;46225;9930;49905;5385;73360;8070;47655
11;93;Seine-Saint-Denis;40990;271550;40860;311965;20850;63285;17530;42020;6005;27435;8195;23830;2875;20715;4520;16100
11;94;Val-de-Marne;32765;227245;32525;285190;17270;56725;14480;40075;6360;32815;8270;31625;3535;34805;5395;26910
11;95;Val-d'Oise;23515;147925;24420;183085;13175;42075;10940;28325;3820;22790;5245;19695;1915;19470;2735;13265
