RR15;DR15;LIBELLE15;16_25_H_non_dip;25_H_non_dip;16_25_F_non_dip;25_F_non_dip;16_25_H_bep;25_H_bep;16_25_F_bep;25_F_bep;16_25_H_Bac;25_H_Bac;16_25_F_Bac;25_F_Bac;16_25_H_sup;25_H_sup;16_25_F_sup;25_F_sup
82;01;Ain;10970;80740;10600;94745;6995;18340;4635;9775;1675;7635;2265;5985;585;5325;1065;4385
22;02;Aisne;20190;110080;20775;134965;8815;19560;4960;9645;2015;8770;2430;6395;835;6100;1270;5015
83;03;Allier;9695;85580;10780;109225;6270;16275;3725;8080;1445;7895;1485;6440;565;5015;875;4475
93;04;Alpes-de-Haute-Provence;2395;26275;2355;29965;1630;4345;955;2580;425;2520;535;2260;180;2345;345;1835
93;05;Hautes-Alpes;2290;22255;2225;24985;1530;3985;985;2205;490;2120;565;2105;180;1715;345;1855
93;99;Alpes-Maritimes;18370;180570;15430;242075;7765;26150;7105;21545;3070;24825;4205;24310;1510;25025;2945;18835
82;07;ArdŠche;6630;60470;6510;72550;3585;8620;2435;5360;705;4075;1005;3355;345;3000;605;2830
21;08;Ardennes;11695;64100;11895;76170;5315;11890;2890;5320;1205;4995;1340;3840;485;3010;875;2580
73;09;AriŠge;3180;36140;2775;41575;1890;4185;1280;2595;480;2480;630;2040;205;1935;330;1485
21;10;Aube;9225;59620;10110;76400;5220;13170;3155;5900;910;4695;975;3315;315;3410;700;2705
91;11;Aude;6350;67235;5925;83490;3205;8265;2215;5060;940;4655;1220;4235;310;3965;505;3090
73;12;Aveyron;5765;67255;5795;82360;4875;10135;2470;5145;1130;4310;1480;4080;470;3210;615;2980
93;13;Bouches-du-Rh“ne;44950;337860;40590;413635;18925;58415;15400;43430;6190;39145;8095;35340;3300;41600;5960;31925
25;14;Calvados;19870;102985;20715;134945;9875;22535;6540;13015;2060;9265;2950;8020;1115;8630;1915;7190
83;15;Cantal;4975;40975;4840;46485;2665;4650;1260;2065;595;2390;865;2815;195;1730;380;1640
54;16;Charente;8930;74060;10105;92310;7530;13575;3840;7450;1265;5520;1585;5310;420;3945;740;3245
54;17;Charente-Maritime;14825;108045;14680;134720;9290;19200;5630;11650;1850;8990;2205;7380;615;6480;1025;5415
24;18;Cher;8370;68875;9405;87625;6025;15765;3455;7235;985;5755;1400;4345;500;4125;635;3175
74;19;CorrŠze;5325;58205;5770;72285;4740;9605;2410;5200;995;4425;910;3630;335;2725;630;2290
94;2A;Corse-du-Sud;3795;30715;2775;30900;380;1525;460;1300;375;2740;400;2165;80;1665;225;1085
94;2B;Haute-Corse;5160;39180;2760;35680;480;1920;380;1120;500;2200;440;2300;80;1940;140;1200
26;21;C“te-d'Or;12295;88125;13020;108285;8395;19930;5605;11545;2065;9410;2465;8285;1190;9400;2060;7430
53;22;C“tes-d'Armor;12390;113035;13490;147565;9190;19395;5470;9910;2090;8590;2350;6915;845;6690;1350;5230
74;23;Creuse;2685;39680;3250;48105;2265;5335;1105;2285;485;1925;530;1790;185;1395;285;1265
72;24;Dordogne;10220;93325;10140;112285;5805;11700;3475;7190;1290;5980;1475;5135;480;4585;660;3920
43;25;Doubs;14360;86980;16120;105015;8560;23315;5780;12060;2035;9125;2480;7665;945;7580;1795;6625
82;26;Dr“me;10045;77270;9525;94165;5080;13830;3600;8820;1230;7470;1740;6175;575;5400;875;4845
23;27;Eure;15390;86705;15980;105565;6990;16375;4325;8375;1290;7270;1515;5445;550;5340;825;4155
24;28;Eure-et-Loir;10955;70650;11810;83610;6800;14955;3670;7480;1295;5385;1570;4475;395;4185;760;3270
53;29;FinistŠre;17085;160885;18885;217705;15030;38110;9460;20060;3970;14515;4065;11600;1695;11790;2385;8655
91;30;Gard;14625;111690;12810;137350;7200;16415;4350;10755;1915;9570;2270;8230;700;8405;1290;7550
73;31;Haute-Garonne;17055;146230;17005;191040;11060;32285;8145;21375;3385;19225;4630;17280;2360;22620;3645;18140
73;32;Gers;4240;45470;3860;50890;2595;5385;1495;2865;720;2760;895;2510;205;2195;400;1905
72;33;Gironde;26745;201285;28455;272860;17880;49520;13000;33885;4725;25365;5250;21490;2375;24170;3735;18920
